id,tma_mdpl
2025-09-19 06:00:00 - Arjowinangun - Pacitan,1.1144148501951718
2025-09-19 12:00:00 - Arjowinangun - Pacitan,1.1405661491731467
2025-09-19 18:00:00 - Arjowinangun - Pacitan,1.095475782070725
2025-09-20 06:00:00 - Arjowinangun - Pacitan,1.1008110211160778
2025-09-20 12:00:00 - Arjowinangun - Pacitan,1.1561401543572254
2025-09-20 18:00:00 - Arjowinangun - Pacitan,1.1131190561606863
2025-09-21 06:00:00 - Arjowinangun - Pacitan,1.1167968588432047
2025-09-21 12:00:00 - Arjowinangun - Pacitan,1.1734419647534675
2025-09-21 18:00:00 - Arjowinangun - Pacitan,1.1023781969730255
2025-09-22 06:00:00 - Arjowinangun - Pacitan,1.10702778151131
2025-09-22 12:00:00 - Arjowinangun - Pacitan,1.1635958382401637
2025-09-22 18:00:00 - Arjowinangun - Pacitan,1.0922523194757676
2025-09-23 06:00:00 - Arjowinangun - Pacitan,1.1051006936073495
2025-09-23 12:00:00 - Arjowinangun - Pacitan,1.161668750336203
2025-09-23 18:00:00 - Arjowinangun - Pacitan,1.091442598468457
2025-09-24 06:00:00 - Arjowinangun - Pacitan,1.0834848096452045
2025-09-24 12:00:00 - Arjowinangun - Pacitan,1.140919808530812
2025-09-24 18:00:00 - Arjowinangun - Pacitan,1.0871241903281283
2025-09-25 06:00:00 - Arjowinangun - Pacitan,1.089250753056426
2025-09-25 12:00:00 - Arjowinangun - Pacitan,1.1466857519420335
2025-09-25 18:00:00 - Arjowinangun - Pacitan,1.0942017881123522
2025-09-26 06:00:00 - Arjowinangun - Pacitan,1.0942017881123522
2025-09-26 12:00:00 - Arjowinangun - Pacitan,1.1537633497262574
2025-09-26 18:00:00 - Arjowinangun - Pacitan,1.0942017881123522
2025-09-27 06:00:00 - Arjowinangun - Pacitan,1.0963831256686327
2025-09-27 12:00:00 - Arjowinangun - Pacitan,1.1384657848555424
2025-09-27 18:00:00 - Arjowinangun - Pacitan,1.0918354155913146
2025-09-28 06:00:00 - Arjowinangun - Pacitan,1.0884385857276553
2025-09-28 12:00:00 - Arjowinangun - Pacitan,1.1562008411407962
2025-09-28 18:00:00 - Arjowinangun - Pacitan,1.107204154746082
2025-09-29 06:00:00 - Arjowinangun - Pacitan,1.1055226613454883
2025-09-29 12:00:00 - Arjowinangun - Pacitan,1.1532742325996088
2025-09-29 18:00:00 - Arjowinangun - Pacitan,1.1055226613454883
2025-09-30 06:00:00 - Arjowinangun - Pacitan,1.1145424596990114
2025-09-30 12:00:00 - Arjowinangun - Pacitan,1.1126094433161657
2025-09-30 18:00:00 - Arjowinangun - Pacitan,1.1084903234535264
2025-10-01 06:00:00 - Arjowinangun - Pacitan,1.1025058064768651
2025-10-01 12:00:00 - Arjowinangun - Pacitan,1.133170279547633
2025-10-01 18:00:00 - Arjowinangun - Pacitan,1.226923206769269
2025-10-02 06:00:00 - Arjowinangun - Pacitan,1.1489226716645078
2025-10-02 12:00:00 - Arjowinangun - Pacitan,1.2619509838452867
2025-10-02 18:00:00 - Arjowinangun - Pacitan,1.141440341810993
2025-10-03 06:00:00 - Arjowinangun - Pacitan,1.1410611655583542
2025-10-03 12:00:00 - Arjowinangun - Pacitan,1.1911656042029926
2025-10-03 18:00:00 - Arjowinangun - Pacitan,1.1253668421138157
2025-10-04 06:00:00 - Arjowinangun - Pacitan,1.1309701886025403
2025-10-04 12:00:00 - Arjowinangun - Pacitan,1.1519744566488244
2025-10-04 18:00:00 - Arjowinangun - Pacitan,1.0863607587894342
2025-10-05 06:00:00 - Arjowinangun - Pacitan,1.0863607587894342
2025-10-05 12:00:00 - Arjowinangun - Pacitan,1.140156376992118
2025-10-05 18:00:00 - Arjowinangun - Pacitan,1.0805948153782128
2025-10-06 06:00:00 - Arjowinangun - Pacitan,1.0815772213661756
2025-10-06 12:00:00 - Arjowinangun - Pacitan,1.1360674511568085
2025-10-06 18:00:00 - Arjowinangun - Pacitan,1.0765058895429034
2025-10-07 06:00:00 - Arjowinangun - Pacitan,1.0765058895429034
2025-10-07 12:00:00 - Arjowinangun - Pacitan,1.1360674511568085
2025-10-07 18:00:00 - Arjowinangun - Pacitan,1.0765058895429034
2025-10-08 06:00:00 - Arjowinangun - Pacitan,1.0815772213661756
2025-10-08 12:00:00 - Arjowinangun - Pacitan,1.1360674511568085
2025-10-08 18:00:00 - Arjowinangun - Pacitan,1.0545748963312245
2025-10-09 06:00:00 - Arjowinangun - Pacitan,1.0680188964061479
2025-10-09 12:00:00 - Arjowinangun - Pacitan,1.12112541155674
