id,tma_mdpl
2025-09-19 06:00:00 - Arjowinangun - Pacitan,1.0928646776430302
2025-09-19 12:00:00 - Arjowinangun - Pacitan,1.135323162553433
2025-09-19 18:00:00 - Arjowinangun - Pacitan,1.134941781317673
2025-09-20 06:00:00 - Arjowinangun - Pacitan,1.1067849467480828
2025-09-20 12:00:00 - Arjowinangun - Pacitan,1.1732221532924585
2025-09-20 18:00:00 - Arjowinangun - Pacitan,1.0933318021416836
2025-09-21 06:00:00 - Arjowinangun - Pacitan,1.1073637816382413
2025-09-21 12:00:00 - Arjowinangun - Pacitan,1.1726988730464638
2025-09-21 18:00:00 - Arjowinangun - Pacitan,1.089768633842106
2025-09-22 06:00:00 - Arjowinangun - Pacitan,1.1044110965544036
2025-09-22 12:00:00 - Arjowinangun - Pacitan,1.1551037252503293
2025-09-22 18:00:00 - Arjowinangun - Pacitan,1.089768633842106
2025-09-23 06:00:00 - Arjowinangun - Pacitan,1.089768633842106
2025-09-23 12:00:00 - Arjowinangun - Pacitan,1.1551037252503293
2025-09-23 18:00:00 - Arjowinangun - Pacitan,1.0936530236746889
2025-09-24 06:00:00 - Arjowinangun - Pacitan,1.077857967816109
2025-09-24 12:00:00 - Arjowinangun - Pacitan,1.1478131145105515
2025-09-24 18:00:00 - Arjowinangun - Pacitan,1.0800474759116208
2025-09-25 06:00:00 - Arjowinangun - Pacitan,1.0803576725137798
2025-09-25 12:00:00 - Arjowinangun - Pacitan,1.1542241236581345
2025-09-25 18:00:00 - Arjowinangun - Pacitan,1.0800474759116208
2025-09-26 06:00:00 - Arjowinangun - Pacitan,1.084190047932035
2025-09-26 12:00:00 - Arjowinangun - Pacitan,1.1492149427380993
2025-09-26 18:00:00 - Arjowinangun - Pacitan,1.0800859935318976
2025-09-27 06:00:00 - Arjowinangun - Pacitan,1.0904861488687543
2025-09-27 12:00:00 - Arjowinangun - Pacitan,1.1560569375010166
2025-09-27 18:00:00 - Arjowinangun - Pacitan,1.0958362912241004
2025-09-28 06:00:00 - Arjowinangun - Pacitan,1.0919796823769516
2025-09-28 12:00:00 - Arjowinangun - Pacitan,1.162902321091299
2025-09-28 18:00:00 - Arjowinangun - Pacitan,1.1089595427105519
2025-09-29 06:00:00 - Arjowinangun - Pacitan,1.107831790238592
2025-09-29 12:00:00 - Arjowinangun - Pacitan,1.161774568619339
2025-09-29 18:00:00 - Arjowinangun - Pacitan,1.1166733465768823
2025-09-30 06:00:00 - Arjowinangun - Pacitan,1.1084825809866392
2025-09-30 12:00:00 - Arjowinangun - Pacitan,1.1220234889322285
2025-09-30 18:00:00 - Arjowinangun - Pacitan,1.1173241373249296
2025-10-01 06:00:00 - Arjowinangun - Pacitan,1.084844999949612
2025-10-01 12:00:00 - Arjowinangun - Pacitan,1.1720167577055765
2025-10-01 18:00:00 - Arjowinangun - Pacitan,1.1898762617748326
2025-10-02 06:00:00 - Arjowinangun - Pacitan,1.1542424142253491
2025-10-02 12:00:00 - Arjowinangun - Pacitan,1.2174620159390668
2025-10-02 18:00:00 - Arjowinangun - Pacitan,1.1473044341887633
2025-10-03 06:00:00 - Arjowinangun - Pacitan,1.109717841375399
2025-10-03 12:00:00 - Arjowinangun - Pacitan,1.197184465156802
2025-10-03 18:00:00 - Arjowinangun - Pacitan,1.120538284933006
2025-10-04 06:00:00 - Arjowinangun - Pacitan,1.1203460201878253
2025-10-04 12:00:00 - Arjowinangun - Pacitan,1.159768204418382
2025-10-04 18:00:00 - Arjowinangun - Pacitan,1.0973769254401664
2025-10-05 06:00:00 - Arjowinangun - Pacitan,1.0778949826963518
